epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8789,0.46202,0.34981,0.9801,0.90578,0.84757,0.9023,0.75521,0.6748,0.49196,1.14485,0.000553513,0.000553513,0.000553513
2,46.6162,0.48004,0.36958,0.98393,0.88739,0.84351,0.89199,0.7328,0.69663,0.51228,1.17239,0.00110369,0.00110369,0.00110369
3,68.2354,0.51881,0.41999,1.00932,0.91623,0.80769,0.8653,0.7204,0.69915,0.55661,1.15678,0.00164836,0.00164836,0.00164836
4,90.0395,0.55697,0.45664,1.04408,0.88749,0.8461,0.87251,0.71606,0.72454,0.52058,1.17324,0.00164225,0.00164225,0.00164225
5,111.65,0.57571,0.46632,1.05274,0.89692,0.81303,0.86897,0.70816,0.745,0.55689,1.18903,0.00163399,0.00163399,0.00163399
6,133.235,0.58018,0.46413,1.04428,0.87482,0.83851,0.85295,0.68703,0.75512,0.59492,1.19115,0.00162574,0.00162574,0.00162574
7,155.014,0.58582,0.49401,1.0497,0.88039,0.77025,0.83545,0.68088,0.73528,0.60717,1.15882,0.00161749,0.00161749,0.00161749
8,176.702,0.59061,0.47487,1.05804,0.87917,0.82115,0.8568,0.69859,0.73921,0.56254,1.1947,0.00160924,0.00160924,0.00160924
9,198.494,0.57798,0.46342,1.04768,0.88343,0.82348,0.86303,0.70195,0.7283,0.56722,1.17883,0.00160099,0.00160099,0.00160099
10,221.081,0.56873,0.45752,1.05249,0.88308,0.81453,0.85566,0.69347,0.7338,0.57159,1.19702,0.00159274,0.00159274,0.00159274
11,244.253,0.58278,0.45669,1.04762,0.9213,0.84256,0.88592,0.71415,0.73876,0.52883,1.18855,0.00158448,0.00158448,0.00158448
12,267.277,0.58979,0.49296,1.06597,0.8725,0.86934,0.87806,0.71248,0.73466,0.52362,1.18102,0.00157623,0.00157623,0.00157623
13,290.274,0.56922,0.4493,1.05206,0.88423,0.8394,0.86125,0.7126,0.72228,0.54599,1.17511,0.00156798,0.00156798,0.00156798
14,313.116,0.59753,0.47128,1.04855,0.86483,0.83311,0.87442,0.70639,0.74899,0.55566,1.19897,0.00155973,0.00155973,0.00155973
15,336.116,0.57934,0.47368,1.0548,0.90736,0.84367,0.87653,0.72088,0.71081,0.53387,1.16307,0.00155148,0.00155148,0.00155148
16,359.786,0.57205,0.45445,1.04474,0.92241,0.8353,0.88816,0.72005,0.73769,0.54207,1.21028,0.00154323,0.00154323,0.00154323
17,382.339,0.58364,0.4662,1.05279,0.86894,0.81429,0.87042,0.70485,0.73512,0.54084,1.17262,0.00153497,0.00153497,0.00153497
18,404.722,0.57837,0.45872,1.05876,0.90386,0.85267,0.88319,0.71589,0.71827,0.54265,1.16609,0.00152672,0.00152672,0.00152672
19,427.612,0.58487,0.45896,1.0439,0.89887,0.84385,0.88562,0.7263,0.71141,0.52728,1.1473,0.00151847,0.00151847,0.00151847
20,450.025,0.5662,0.45935,1.04737,0.89196,0.83791,0.88708,0.72952,0.70712,0.52475,1.16058,0.00151022,0.00151022,0.00151022
